리뷰,날짜,업소명,지역
겨울에도 따뜻하게 물놀이도 가능하고 뷰도 좋고 내부에 카페 식당이 잘 되어 있어서 딱 쉬기 좋습니다!,2023-01-18,한화리조트 거제 벨버디어 ,경남
조용하게 잘 쉬다왔습니다. 아이가 좋아했어요~,2023-01-17,한화리조트 거제 벨버디어 ,경남
잘놀고 잘쉬다가 왔네요 ~~담에또갈게요,2023-02-20,한화리조트 거제 벨버디어 ,경남
행복한 여행이였습니다.^^,2023-01-11,한화리조트 거제 벨버디어 ,경남
굿,2023-06-10,한화리조트 거제 벨버디어 ,경남
어린 아이들이 놀기 좋은곳인거 같아요,2023-02-16,한화리조트 거제 벨버디어 ,경남
아이들과 가족여행에 좋습니다.리조트 안에서만 놀아도 충분하네요,2023-02-14,한화리조트 거제 벨버디어 ,경남
체크인하는데 거의 한시간 정도 걸렸고 갑자기 방을 무료 업그레이드 해준다고 해서 잉?했는데정리가 안되어 있어서 3시 부터 입실인데  5시 넘어서 입실했음겨울성수기?그냥 성수기도 아니고 겨울 성수기라 직원들이 바빠서 정리가 늦어지고 있다니..그건 그쪽 사정이고 성수기 대비해서 인력 보충을 하든가 해야지퇴실은 또 꼭 11시 지켜달라니 완전 배째라식이고다른 리조트 많이 이용해봤지만 이번이 최악이었음더보기,2023-01-05,한화리조트 거제 벨버디어 ,경남
바다 뷰여서 좋았어요 오픈한지얼마안되 깨끗하고.시설편의성 좋아요.단. 체크인하는데 평일인데 한시간걸리고.너무 지치더라구요 개선 필요할듯요.아직 근처 도로는 공사구간이 좀 있고 밤에는 많이 어두워서 거제시내 갔다 들어오는데 좀 위험한 부분이 있어요더보기,2023-01-02,한화리조트 거제 벨버디어 ,경남
"층간소음이라기엔 다른 방에서 신나게 놀면 소리가 점 들리는 편이긴 한데, 리조트니까 어쩔 수 없구요. 늦은 밤부터는 다들 자는 지 괜찮았어요. 그거 말고는 다 좋음.",2023-01-15,한화리조트 거제 벨버디어 ,경남
바다와 함께 아침에 힐링요가하기 좋습니다,2023-02-10,한화리조트 거제 벨버디어 ,경남
"아이들과 자주 가는 곳~~먹거리, 즐길거리가 많아 편하고 좋네요^^",2023-02-03,한화리조트 거제 벨버디어 ,경남
뷰가 정말 좋고 깨끗해요,2023-01-31,한화리조트 거제 벨버디어 ,경남
아이들과의 리프레시~~~~한 시간,2023-01-30,한화리조트 거제 벨버디어 ,경남
좋아요,2023-02-25,한화리조트 거제 벨버디어 ,경남
잘 쉬고 갑니다.,2023-02-22,한화리조트 거제 벨버디어 ,경남
아이와 같이 가기 좋아요,2023-02-22,한화리조트 거제 벨버디어 ,경남
너무 좋습니다. 잘 쉬다 갑니다,2023-01-09,한화리조트 거제 벨버디어 ,경남
정말 좋았습니다.자주 오고 싶어요,2023-01-08,한화리조트 거제 벨버디어 ,경남
아이랑 오기 괜찮아요,2023-06-11,한화리조트 거제 벨버디어 ,경남
굿,2023-06-23,한화리조트 거제 벨버디어 ,경남
편안하게 쉬다 왔어요~,2023-02-03,한화리조트 거제 벨버디어 ,경남
좋아요,2023-03-28,한화리조트 거제 벨버디어 ,경남
좋아요좋아요,2023-01-26,한화리조트 거제 벨버디어 ,경남
ㅅ,2023-03-01,한화리조트 거제 벨버디어 ,경남
정말 좋은 여행이었어요,2023-01-24,한화리조트 거제 벨버디어 ,경남
잘이용했습니다!,2023-01-17,한화리조트 거제 벨버디어 ,경남
굿,2023-03-14,한화리조트 거제 벨버디어 ,경남
좋아요,2023-06-03,한화리조트 거제 벨버디어 ,경남
수영장이 너무 좋아요.,2023-01-10,한화리조트 거제 벨버디어 ,경남
,2023-04-29,한화리조트 거제 벨버디어 ,경남
굿,2023-01-27,한화리조트 거제 벨버디어 ,경남
좋아요,2023-02-28,한화리조트 거제 벨버디어 ,경남
굿,2023-02-25,한화리조트 거제 벨버디어 ,경남
굿,2023-02-25,한화리조트 거제 벨버디어 ,경남
굿,2023-02-19,한화리조트 거제 벨버디어 ,경남
좋아요,2023-02-17,한화리조트 거제 벨버디어 ,경남
좋아요,2023-02-17,한화리조트 거제 벨버디어 ,경남
,2023-01-18,한화리조트 거제 벨버디어 ,경남
굿,2023-02-13,한화리조트 거제 벨버디어 ,경남
지저분해요,2023-04-12,한화리조트 거제 벨버디어 ,경남
엘플로어 조식 가격대비 진짜 별루네요 ㅠㅠ 장어덮밥은 잔가시가 너무너무너무 많아서 반은 뱉고..소고기는질기고… 이 가격에 이걸 먹다니 ㅠㅠ 다른분들 사진에 속았어 ㅜㅜ,2023-03-30,한화리조트 거제 벨버디어 ,경남
맛나요,2023-07-08,한화리조트 거제 벨버디어 ,경남
굿,2023-02-02,한화리조트 거제 벨버디어 ,경남
굿,2023-01-28,한화리조트 거제 벨버디어 ,경남
굿,2023-01-22,한화리조트 거제 벨버디어 ,경남
ㅅ,2023-01-02,한화리조트 거제 벨버디어 ,경남
4,2023-01-02,한화리조트 거제 벨버디어 ,경남
잘쉬다가 갑니다.,2023-02-08,한화리조트 거제 벨버디어 ,경남
굿,2023-01-08,한화리조트 거제 벨버디어 ,경남
,2023-04-14,한화리조트 거제 벨버디어 ,경남
너무좋네요 멀다는점 제외하고 만족!!!!!!,2023-01-07,한화리조트 거제 벨버디어 ,경남
조용해서  힐링하기 좋아요,2023-02-18,한화리조트 거제 벨버디어 ,경남
거제대교 멋찐뷰와 함께 멋찐 호캉스 햇어요~^^,2025-05-13,한화리조트 거제 벨버디어 ,경남
뷰가 좋고 쉬기 좋은데 벽이 얇아서 옆방 잘 못 만나면 잠 못자요. 집안싸움 잘 들었습니다.,2024-08-28,한화리조트 거제 벨버디어 ,경남
좋아요~ 그런데 일찍 안 가면 안 좋은 객실 받을 수 있으니 참고하세요.,2024-08-11,한화리조트 거제 벨버디어 ,경남
조아요,2024-07-29,한화리조트 거제 벨버디어 ,경남
조아요,2024-07-30,한화리조트 거제 벨버디어 ,경남
우리가족 여름피서~♡,2024-07-08,한화리조트 거제 벨버디어 ,경남
"객실과 로비 모두 깔끔하고 여러 편의/놀이 시설들이 잘 되어 있어 좋았습니다.주말에 체크인은 3시부터이고, 무조건 키오스크로 비대면 체크인 입니다. 모바일 체크인도 된다는데 카드키 발급이 안된다고 하여 키오스크에 줄서서 체크인 했어요. 선착순으로 윗층부터 배정된다고 하네요.근데 방음이 너무 안돼요; 아기 울음소리, 밤에 다른 투숙객 들어가는 소리, 심지어 아래층인지 옆방인지 코고는 소리에 진동까지 느껴져서 당황했네요. 윗층 투숙객은 밤 10시 넘어서도 쿵쾅쿵쾅 뛰어다니더라구요.그래도 전반적으로 만족하며 묵고 갑니다.더보기",2024-06-18,한화리조트 거제 벨버디어 ,경남
호캉스하기 좋아요,2024-05-15,한화리조트 거제 벨버디어 ,경남
아빠 생신이라 여행와서 잡은 숙소. 뷰도 좋고 깨끗하고 친절하고 다 괜찮은데 냉장고가 너무작아 생일케익이 들어가지 않더라구요. 그거 빼고는 좋아요,2024-05-19,한화리조트 거제 벨버디어 ,경남
깨끗하고 좋아요 !,2023-12-15,한화리조트 거제 벨버디어 ,경남
#한화리조트,2024-02-26,한화리조트 거제 벨버디어 ,경남
두달에 한번씩은 가는곳회원권있으면 저렴하고 좋습니다,2023-12-29,한화리조트 거제 벨버디어 ,경남
좋아요,2023-05-19,한화리조트 거제 벨버디어 ,경남
좋아요,2023-10-09,한화리조트 거제 벨버디어 ,경남
좋아요,2023-09-20,한화리조트 거제 벨버디어 ,경남
뷰가 좋고 소금커피맛이 일품입니다,2023-09-20,한화리조트 거제 벨버디어 ,경남
"남도여행의 두 번째 방문지입니다. 이슬비가 내렸지만 되려 더 운치가 좋고 차분해서 홀로 여행객에게는 좋은 시간이 된듯 합니다. 이미 여러모로 널리 알려진 사찰이라 기대한 만큼 잘 정리된 진입로와 둘레길은 일부러 걷기 좋았습니다.유서 깊은 사찰, 33곳 적멸보궁 중 하나 이기에 더 의미가 있는듯 합니다. 추사와의 교류로 유명한 초의대사가 있던 사찰입니다. 찻밭이 유명하기도 한데 비가 와 아쉽게도 발길을 돌렸네요.고즈넉한 경내 정경과 구름이 살포시 내린 풍경이 살짝 설레게 하더군요.좋은 곳입니다.더보기",2025-06-13,대흥사,전남
몇 개월전에 다녀왔는데 가는길이 걸어가기 좋아요 길이 이쁘고경사도 완만한 편이여서 체력이 안좋아도 갈만한듯 합니다 그리고 화장실도 깨끗한 편이고오랜시간동안 이곳을 잘 유지해주신 스님들 보살님덕에좋은 경관 잘보면서 좋은 기운 잘 받고 왔습니다근데.. 보살님들 좀 더 친절하시면 좋을 거 같아요더보기,2025-07-26,대흥사,전남
버스타고 방문하신다면 산길 산책로를 약 2킬로 걸으셔야주차장까지 갈 수 있습니다.주차장부터는 고목들이 많아 구경하면서 내부로 들어가면매우 운치가 있습니다.비가 오는 날이라 옷이 젖어와 추움이 찾아왔지만산 속 절은 비오는 날에만 느낄 수 있는 분위기가 있죠.그래서 그 분위기를 느끼며 걸었습니다.생각보다 규모가 컷습니다.매우 관리가 잘 되고 있는 절이라는 것이 느껴져서산책 겸 여행 시 매우 마음이 들었습니다.더보기,2025-05-05,대흥사,전남
해남에 왔으면...두륜산 대흥사 를 안가볼수 없겠죠오전 방문이라 바람고 선선하여 걷기에딱 좋았어요더보기,2025-07-06,대흥사,전남
두륜산 대흥사는 오래된 산사로 찬찬히 둘러보기에 좋은곳이었음 역사에 관심있는 분들에겐  최고고즈넉하고 봄의 꽃들이 한꺼번에 피워산사와 잘 어우러져 아름다운 곳으로유네스코에 오를만한 곳이네요오랫만에 행복한 산사였음더보기,2025-03-27,대흥사,전남
걸어가기 꽤 멀었지만 걸어가기 이쁜 길입니다.호국대전은 웅장한게 멋졌습니다.연리근 너무 아름다워요.,2025-07-29,대흥사,전남
무료주차장에 주차하고 산책로로 걸어가는 길이 계곡 옆이라 너무 좋아요걸으러 또오고 싶은곳노약자는 절까지 차로 가는게 날성엄청 뛰듯 빨리 걸어야 편도 40분 왕복 1시간반에서 2시간더보기,2025-05-02,대흥사,전남
물소리길로 조용히 걸어올라가며부채처럼 펼쳐진 산의 모양이부처님이 누워계신 모습이라 너무 멋진산사였습니다^^더보기,2025-05-26,대흥사,전남
여름에 방문해본 대흥사백화암에 수국이 가득합니다.,2025-06-22,대흥사,전남
유네스코 세계문화유산 대흥사. 긴 말이 필요하지 않은 듯요. 해남 여행 오셨으면 꼭 가보세요~,2025-05-10,대흥사,전남
사찰은 소박하지만 두륜산 배경이 정말 멋있습니다 영상은 무염지입니다 자연 환경이 뛰어나서 트래킹하는 재미가 있습니다 연리지도 너무 예쁩니다,2025-05-03,대흥사,전남
유네스코세계유산 한국의산사,2025-05-21,대흥사,전남
very very nice,2025-06-06,대흥사,전남
5월에 싱그러운 두륜사 대흥사의 연리근을 보러 방문함,2025-05-25,대흥사,전남
여름 휴가는 대흥사 계곡 👍👍,2025-07-26,대흥사,전남
산책하기에도 좋고여유롭게 다녀오기 좋았어요되게 규모가 큰데 좋네뇨,2025-04-26,대흥사,전남
"산책로가 잘 조성되어있어서 걷기 좋아요.가는길에 매화, 홍매화, 동백꽃이 예쁘게 피었더라구요.연리지 나무도 신기하고최근 드라마 원경 촬영지로도 나왔더라구요.더보기",2025-03-22,대흥사,전남
두륜산의 높은 정기를 받을 수 있는 넓은 터에 위치한 대흥사 ♡케이블카도 타보세요.가을에 한번 더 가고 싶어요.,2025-05-04,대흥사,전남
"주차장에서 사찰까지 거리는 1.4km? 정도 됩니다.산책로가 잘되어 있어 걸어가기에 무리없어요.사찰이 매우 넓고, 설명문이없어서 혼잡스러우실거예요. 사찰 안내도를 사진찍어두고 확인하시면서둘러보시는걸 추천드려요.전각이 40개가 넘게 있는데, 전각 이용을 할 수 없어서 4~5개? 전각만 들어갈 수 있었답니다.이 점이 조금 아쉬워요.귀여운 강아지들도 많고, 관리가 잘되어있는천년고찰이네요.더보기",2025-01-11,대흥사,전남
주차장에서 대흥사까지 걸어가는 길이 너무 아름답습니다.백제시대 부터 지켜온 나무들이 시간을 고스란히 전달해주는 기분이 듭니다. 이래서 자연이 아름답다고 하나봅니다. 일부러라도 방문해보시기를 권합니다!!!,2025-01-27,대흥사,전남
대흥사는 여름에도 시원하고 좋은 곳인데 가을에도 단풍으로 멋진 곳이라 작년에 이어 올해도 늦은시간에 가봤습니다. 남쪽이라 아직까지도 만개하지 못한 단풍들이 50%가 넘었네요 간혹 빨갛게 물든 단풍들도 있지만 추위가 시작되면 어떡게 될지는 모르겠지만 아직 즐길만한거 같습니다. 아직 단풍을 즐기지 못하신분들은 가보시는 것도 괜찮을거 같습니다,2024-11-24,대흥사,전남
평화롭고 전경이 아주 멋진 곳이에요,2025-05-06,대흥사,전남
산책하기 좋아요성수기에 가면 예쁠듯,2025-03-23,대흥사,전남
유네스코 세계문화유산 등재 7대 산사 중 한 곳인 드륜산 대흥사! 부처님이 누워계시는 와불형태의 산으로 둘러싸여 아주 절경 입니다. 좋은 기운 받고 갑니다!,2025-03-30,대흥사,전남
유네스코인 만큼 크기도 엄청 크고 볼거리도 많음.,2025-03-30,대흥사,전남
이거 뭐 입장료지 뭐,2025-06-07,대흥사,전남
여름에 계곡 가기 좋아요,2025-06-01,대흥사,전남
좋아요,2025-07-25,대흥사,전남
너무 아름다운 사찰  대흥사,2025-04-17,대흥사,전남
2월말  평일  오후 방문이라  쓸쓸하고  고요하고  추웠네요. ㅎ  유명한  연리지의  앙상함이  서글펐고.  새로  올린  기와  단청이  부조화스러워  아쉽기도  했던....    동백도 아직 일러  피지  않았고...  사방  둘러싸인  산들이  초록  연두되는  계절이  오기를...,2025-02-26,대흥사,전남
제가 가족하고 시간날때마다 가는곳인데요너무실망해서 왔어요이제 다시는 안가려구요대흥사가면 절도올리고 마음도편해지고 딸아이와같이 강아지간식까지 사서가서 주고고랬고 카페도이용하며 기분좋게있다 오는곳인데 카페 맞은편 악세사리 파는곳에서 주인인지 직원인지 모르는 흰색파마 단발머리분 아무리바뿌시다해도 손님한테 매몰차게 사지말라고 무시하는거 아닙니다 반지몇번 껴봤다고 담에사라고요?오늘은 날이아니라고요? 제가 거기서 그동안 물건 10개이상 샀어요아무리 장사잘되신다고 고객응대 그렇게 하시는거 아닙니다 그렇게 바뿌시면 직원을더 두셨어야죠살다살다 그런대우 처음받아보네요.. 너무불친절했어요그동안 마음둘곳없을때 가끔씩 가는곳인데 기분이 너무너무상했고 다신안가려구요고객응대 직원교육 똑바로하세요!더보기,2025-05-05,대흥사,전남
#해남대흥사남도여행길에 첫코스로 가뿐히 산책한 명소해남대흥사 주차장에서 15분 정도?의 산책길도가을정취 듬쭉 담아서 좋고 완만한 산세에엄마 품같은 따스함이 느껴지는 산능성이의두륜산의 풍광도 전면에 펼쳐져서 정말멋드러진 필수 방문코스~!남도에서는 구례의 화엄사를 애정하는사찰방문코스 중 하나인데 대흥사도 이제울 패밀리들의 최애코스가 되어 버렸다는새로 사찰을 짓고 있는 중인데 사찰의 규모도압도적이고 위 아래 구사찰과 연결되는 동선도좋고 역사의 고증이 되는 호국사찰로서상징성도 큰 장소라 서식지랑 가까우면계절마다 가보고 싶은 곳!!#두륜산꼭대기부처바위가햇볕을받으니#그웅장함과왠지모를신성함에심쿵#주변계곡도좋아여름에물놀이도좋을듯#스님들의도량이느껴지는곳#또가보자!🤩👍🏻👍🏻👍🏻🤩🤩🥰😍😍🙏더보기,2024-10-25,대흥사,전남
좋아요,2025-06-30,대흥사,전남
"두륜산에 위치하고 있어 주변경관이 너무 멋있어요. 동백나무길, 물소리길 등도 있어요. 주차는 슈퍼가 있는 하기를 추천해요. 걸어서 올라가면서 마음의 쉼을 가져볼수있어요~",2025-01-01,대흥사,전남
아름다운 단풍을 보면서 계곡따라 20분쯤 올라가면 두륜산 자락에 자리접은 대흥사 입구가 나타난다. 곳곳의 예쁜 단풍에 취해 조금 더 올라가다보니 웅장한 대웅보전이 나타났다. 정말로 이렇게 큰 절은 처음봤다.,2024-11-09,대흥사,전남
"유네스코 세계문화유산으로 등재된 우리나라 대표 사찰 대흥사입니다.이번이 2번째 방문인데 언제가도 좋습니다. 사찰 구조가 조금 특이하게 되어 있는데 성보박물관에서는 사진을 못 찍는다고 하시더라고요.해남에 가시면 꼭 가봐야 하는 필수 여행지이고, 대흥사로 들어가는 길에 계곡도 멋지고 산책로도 정말 잘 갖춰져 있습니다.추천합니다.더보기",2024-10-04,대흥사,전남
해남 필수 관광지. 24.11.9모습. 규모있고 풍경좋은 곳에 위치한 절. 일주일이상 지나야 단풍이 예쁠 듯,2024-11-09,대흥사,전남
규모가 큰 사찰입니다.주차장에서 본 사찰까지 십오분정도 걸어들어가야 합니다.경치가 매우 아름답습니다.주차비는 3천원이고 입장은 일몰전까지 자유입장인듯 합니다.더보기,2024-11-06,대흥사,전남
지난 주말에 방문했는데 날씨가 따스해서 그런지 아직도 단풍이 많이 들지 않아서 아쉬웠어요. 혹시라도 단풍 기대를 하신다면 아직은 조금 이를 듯 해요. 하지만 단풍이 없어도 주변 자연경관과 어우러져 운치있고 가을 산책하기 정말 좋았어요.,2024-11-09,대흥사,전남
경치가 좋아요.,2025-05-04,대흥사,전남
"대흥사의 일주문부터 걸어서 천천히 올라갔는데ᆢ너무 추워! 추워서 귀도 꽁꽁, 손도 꽁꽁, 세상에 폰을꺼낼수가 없네 손이 곱아서 동상걸린것 같은 추위!그래서 꼼꼼하게 보지못하고 대충 훑음~따스할때꼭 다시 들리고 싶은 두륜산 대흥사!더보기",2024-12-22,대흥사,전남
좋아요,2025-06-01,대흥사,전남
해남의 이름난 사찰로 두륜산의 산세와 함께 주차장서부터 절터까지 걸어가는 길이 호젓하고 좋습니다.,2024-11-20,대흥사,전남
두륜산 산세가 너무 좋네요~^^,2025-01-25,대흥사,전남
"풍수, 풍광이 너무 좋아요.  사색하며 산책하기 좋아요.",2024-11-07,대흥사,전남
정말 멋있었어요. 산으로 둘러쌓인 사찰.. 탁 트인 풍경에 감탄이 절로 나왔어요.또 가고 싶어요. 💛,2025-01-19,대흥사,전남
공기가 너무너무 좋아요 집이랑 가까우면 매일매일 오고 싶어요 마음 고요해져서 돌아갑니다,2025-02-02,대흥사,전남
,2025-07-29,대흥사,전남
굿,2025-06-07,대흥사,전남
대흥사 공영주차장을 이용하면 일반 승용차가진입할 수 없는 곳 앞까지 가서 주차하고 걸어갈 수 있어요.금액은 3천원입니다:),2024-11-13,대흥사,전남
해남 왔다면 한번 들려볼만한거같아요!!,2025-01-02,대흥사,전남
고즈넉하니 운치있어요,2025-02-01,대흥사,전남
40년 만에 찿은 곳많이 변했네,2025-03-02,대흥사,전남
좋아요가을에 꼭 다시 와봐야겠어요.사찰 뒤로는 두륜산두륜산 갔던 추억이 생각났어요.산책길이 아주 좋아요.더보기,2025-01-19,대흥사,전남
,2025-02-27,대흥사,전남
두륜산뷰 사찰.. 숲이 우거져 걷기도 좋네요,2024-10-10,대흥사,전남
친절해요,2025-04-11,대흥사,전남
날씨도 너무 좋았고 대흥사보고 두륜산 등산했는데 힘들었지만 좋았어요,2024-10-11,대흥사,전남
절 크기가 어마어마합니다.산책로도 잘 되어있고 경치가 좋아요.계고을 따라 산책하는 길이 정말 좋았어요,2024-11-03,대흥사,전남
,2025-06-01,대흥사,전남
계곡옆 산책길로 대흥사를 갔어요.그늘지고 주차장에서 10분 정도 걸어가면 됩니다.대웅전 바닥도 반짝반짝 상단도 반짝반짝대흥사 다녀온 후 기분좋았어요더보기,2024-09-01,대흥사,전남
굿,2025-04-20,대흥사,전남
진도 간 김에 전부터 가보고 싶었던 해남의 대흥사도 방문. 마침 발을 살짝 다쳤던터라 주차장이 멀면 어쩌나 싶었는데 선행자들의 경험을 검색해보니 최대한 차로 안쪽까지 들어가라는 충고에 따라 미친척 끝까지 올라감. 덕분에 손쉽게 구경은 잘했음 아마 초입에 차 세우고 걸었으면 엄청 힘들었을 듯 ㅋ 한가지 아쉬운 건 들어오는 길에 보이던 찻집이 좋아보여 옆지기가 가보고 싶어했는데 나가는 길은 좀 달라서 들리지는 못했음. 그 찻집 옆에도 주차장 있었는데 차한잔 마시고 움직일걸 그랬나 하는 생각이... 암튼 고찰답게 분위기도 좋았고 월요일이라 특히 더 그랬을 듯 싶지만 고요하니 둘러보기 좋았다. 쏠비치에서 한시간 반쯤 걸리지만 와볼 가치는 있음. 추천함더보기,2024-06-17,대흥사,전남
계속 너무너무 시원하고~ 바람 시원하고! 대흥사는 너무 멋있고! 보물이 가득가득한 대흥사>_< 안쪽에 분위기 있는 카페도 있고 여긴 진짜 너무 좋다! 다음에도 또 갈테야ㅜㅜ,2024-07-29,대흥사,전남
뒤늦게 알았네요.해남 가시면 꼭 들려보시길강력히 권해드려요.차로 대웅전 근처까지 가실 수 있어요더보기,2024-08-06,대흥사,전남
멋져요,2025-01-01,대흥사,전남
너무 좋았어요!  넓어서 여유있게 가는걸 추천,2024-12-06,대흥사,전남
예쁜 절^^,2025-07-20,대흥사,전남
입장료 대신 주차료,2024-12-07,대흥사,전남
산책하기 너무 좋은 사찰이에요~,2024-11-11,대흥사,전남
가을 대흥사 정말 멋져요,2024-11-06,대흥사,전남
"쏠라티 15인승, 버스 주차요금이네요.",2024-11-08,대흥사,전남
넓음,2025-03-03,대흥사,전남
"해남 대흥사에 다녀 왔어요.머무는 숙소 근처여서 큰 기대없이 찾았는데,규모와 그 아름다움에 깜짝 놀랬습니다.일찍이 서산대사가 “전쟁을 비롯한 삼재가 미치지 못할 곳(三災不入之處)으로 만년동안 훼손되지 않는 땅(萬年不毁之地)”이라 하여 그의 의발(衣鉢)을 이곳에 보관한 도량으로 두륜산을 병풍처럼 두르고 서 있는 사찰입니다.또한 차문화의 성지라고도 하네요.더보기",2024-04-11,대흥사,전남
등산 가느냐고 들렸습니다.,2025-04-30,대흥사,전남
대흥사 33관음성지,2024-10-05,대흥사,전남
"차량을 끄신다면,,, 끌고 가시길 추천합미다….",2024-09-18,대흥사,전남
해남 대흥사 ~워낙 유명한 절이라 방문해봤어요 오백년된  나무도 인상적이네요 주차장도 넓고 주변이 잘 정돈된 평화로운 느낌의 절이네요,2024-05-25,대흥사,전남
"물소리, 새소리, 맑은공기와 부처님아이와 산책하듯 올라 힐링하고 왔어요천천히 걸어도 30분이면 가네요여유있게 주차장에서 대웅전까지 왕복 1시간이면 충분합니다🌐 더 자세한 리뷰는 인스타그램 @4sik9.story 에서 확인하실 수 있어요인스타 오셔서 맞팔도 하시고, 소통하며 함께해요~더보기",2024-07-10,대흥사,전남
풍경이 좋아요,2024-11-30,대흥사,전남
사찰도 좋았고특히 계곡이 너무 좋아서이틀 연속으로 다녀왔어요👍😁😊,2024-08-02,대흥사,전남
굿굿,2024-12-07,대흥사,전남
대흥사! 멋져요!,2024-08-01,대흥사,전남
괜찮음~,2024-11-12,대흥사,전남
굿,2025-02-25,대흥사,전남
멋지네요,2024-10-06,대흥사,전남
오랫만에 주말이라 나들이로 택한 대흥사 산책 황사로 공기가 답답하지만 이곳은 정말 다른 곳인 것 같아요 시원하고 맑고 깨끗한 공기에 춥지않고 산책으로 몸이 깨끗해지는 것 같아요 제대로 힐링이네요,2024-03-31,대흥사,전남
풍경이 너무 좋아요,2024-10-20,대흥사,전남
굿,2024-11-22,대흥사,전남
,2024-10-20,대흥사,전남
좋아요,2025-01-27,대흥사,전남
좋아요,2024-11-28,대흥사,전남
정말 아름다운 곳!,2024-12-10,대흥사,전남
좋아요~~,2024-11-07,대흥사,전남
굿🤗,2024-09-26,대흥사,전남
"10년만에 다시 와보신다고 너무너무 좋아하신 하부지,할머니!!!!!! 아직은 덜 초록초록하지만꽃바람씨기에 딱 좋은 날씨엿단 사실!!! 가벼운 산책하기 좋은곳👍",2024-04-11,대흥사,전남
담당하시는 법사님이 따뜻하신분이라 편하게 머물다 왔습니다,2024-06-13,대흥사,전남
마음이 차분해지고 산책하기 좋아요.,2025-01-25,대흥사,전남
굿,2024-11-17,대흥사,전남
절,2024-09-14,대흥사,전남
산책로가 잘 되어있어요 좋아요가볍게 산책하기 좋고 산책로에 카페도 있어서 커피도 마실수있어요 ㅎㅎ날좋을때 부모님과 지인과 방문해보세요 ㅎㅎ,2024-03-10,대흥사,전남
고즈넉합니다...,2024-05-30,대흥사,전남
절이 깨끗하게 잘 정돈되어있구 웅장하고 좋았어요,2024-10-10,대흥사,전남
산새가 참 좋다. 대웅전을 올라가기의 길이 아름다웠다. 힐링하기에 정말 좋은곳으로 보인다. 입구에는 계곡이 있어 가족단위로 물놀이를 즐기러 오는 사람들이 많이 있었다. 말복이 지나서인지 나름 더위도 좀 견딜만했다. 템플스테이도 있어서 주변의 좋은 기운을 받아 심신을 힐링하기에 좋을듯하였다. 우린 대웅전에 가서 기와에 아이들을 위한 기원을 담아 정성스런 마음으로 적어놓고 그것을 내려왔다. 나중에 좀 더 여유롭게 재 방문을 하고 싶다.,2024-08-17,대흥사,전남
"제22교구 본사 해남 대흥사 (유네스코 세계문화유산, 산사, 한국의 산지승원),절 규모가 무척 클 뿐 아니라 여러 문화재도 있고, 주변 자연과도 전체적으로 잘 조화를 이룬 모습입니다.",2024-03-16,대흥사,전남
즐거운 여행코스였어요.,2024-08-01,대흥사,전남
,2024-08-17,대흥사,전남
너무 멋진 사찰입니다,2024-09-23,대흥사,전남
아이들과 놀기 좋은 대흥사계곡,2024-08-03,대흥사,전남
평소에 등산하시는거 좋아하시는 분 아니면꼭 주차장 매표소에서 3000원 내시고위에 주차하세요~!왜냐면 여기서 주차해도 절가려면 또 걸어가야해요~가면서 뷰도 좋고 공기도 맑아서 좋긴한데절까지 돌아보고 돌아올때 좀 힘들긴 해요 ㅎㅎ산새가 엄청 좋아서 멋있어요~절에 돌아다니는 강아지 있는데 딱 절강아지 같습니다 ㅋㅋ더보기,2024-01-21,대흥사,전남
한적하니 좋네요 문화해설이  접근하기 어려워요,2024-06-05,대흥사,전남
늦었지만 대흥사 갔다왔어요,2024-05-15,대흥사,전남
좋아요,2024-09-16,대흥사,전남
좋아요,2024-09-16,대흥사,전남
가본 사찰 중에 으뜸!!,2024-05-14,대흥사,전남
또가고 싶어요.,2024-08-18,대흥사,전남
아주좋아요만족합니다,2024-11-11,대흥사,전남
좋아요.,2024-08-17,대흥사,전남
두륜산 등산으로 어쩔수없이 주차. ㅋ 절이 큰데 공사중이더라구요. 템플도 하나봅니다. 절뒤로 두륜산 넘 멋져요.,2024-03-01,대흥사,전남
넘멋있어요!!! 잘보고갑니당,2024-05-04,대흥사,전남
산책도 좋지만 징거미새우랑 가재 잡기🫣아이들이 좋아해요🤎,2024-04-14,대흥사,전남
주차도 편하고 가볍게 가기 좋아요 :  ),2024-05-05,대흥사,전남
좋아요,2024-08-30,대흥사,전남
,2024-07-10,대흥사,전남
구경 잘했어요,2024-11-08,대흥사,전남
시원하고 맛있어요,2024-08-04,대흥사,전남
대흥사. 색감이 미쳤네요. 생각보다 넓지만 들어갈수 있는곳은 한정적,2024-03-01,대흥사,전남
너어어어무 좋음,2024-09-19,대흥사,전남
고즈넉하고 흐르는 개울물소리가 너무 좋아요..꽃이 피기 시작했네요~^^,2024-03-14,대흥사,전남
굳,2024-08-15,대흥사,전남
입장료 없이 좋은곳 잘 다녀왔어요,2024-06-22,대흥사,전남
의승이 많이 나온 대흥사엄청 크고 좋아요 딸의 취업을 기원하며 기와도 하나 올리고 열심히 불공드리고 왔어요경치도 좋고 날씨도 좋고 왠지 다 잘 될거 같은 느낌 받고 왔어요,2024-04-30,대흥사,전남
돗자리 펴고 간식을 먹은게 인상이 남네요,2024-08-10,대흥사,전남
,2024-07-28,대흥사,전남
굿,2024-11-23,대흥사,전남
대흥사가 이젠 거대 사찰이 되었네요...옛날엔 소박한 맛이 있어서 갔는데,2024-03-21,대흥사,전남
